# Oura Ring Event Export
# Events: 1015
# Format: index|tag_hex|event_name|hex_data
340|0x61|API_MEAS_QUALITY_EVENT|610e87710c00260270feffff00000000
341|0x61|API_MEAS_QUALITY_EVENT|610988710c002a02010800
342|0x61|API_MEAS_QUALITY_EVENT|610889710c002a010208
343|0x45|API_STATE_CHANGE_IND|45128a710c001e48572074657374207374617274
344|0x61|API_MEAS_QUALITY_EVENT|61128b710c0009000000004f0000005e00000001
345|0x61|API_MEAS_QUALITY_EVENT|61118c710c000a000000002300000000000000
346|0x61|API_MEAS_QUALITY_EVENT|61118d710c000d000000000000000000000000
347|0x61|API_MEAS_QUALITY_EVENT|610e8e710c000cac0000000000000001
348|0x61|API_MEAS_QUALITY_EVENT|61118f710c0025081e00010300000000000000
349|0x61|API_MEAS_QUALITY_EVENT|611290710c00099c1d0f00000000000d00000080
350|0x61|API_MEAS_QUALITY_EVENT|611291710c002800000000000000000000000000
351|0x61|API_MEAS_QUALITY_EVENT|611292710c002801000000000000000000000000
352|0x61|API_MEAS_QUALITY_EVENT|610c93710c002900000000000000
353|0x45|API_STATE_CHANGE_IND|4510ae720c00014857207465737420656e64
354|0x61|API_MEAS_QUALITY_EVENT|6112af720c000984170f0078060000b40000001e
355|0x61|API_MEAS_QUALITY_EVENT|6111b0720c000a000000000000000000000000
356|0x61|API_MEAS_QUALITY_EVENT|6111b1720c000d000000000000000000000000
357|0x61|API_MEAS_QUALITY_EVENT|610eb2720c000cb21e0f002f0100001e
358|0x61|API_MEAS_QUALITY_EVENT|610cb3720c002901040200000119
359|0x61|API_MEAS_QUALITY_EVENT|6111b4720c002600081e000000f0ffffffe409
360|0x61|API_MEAS_QUALITY_EVENT|610ab5720c002601e60fe60f
361|0x61|API_MEAS_QUALITY_EVENT|610eb6720c00260270feffff00000000
362|0x61|API_MEAS_QUALITY_EVENT|6109b7720c002a02020800
363|0x61|API_MEAS_QUALITY_EVENT|6108b8720c002a010308
364|0x45|API_STATE_CHANGE_IND|4512b9720c001e48572074657374207374617274
365|0x61|API_MEAS_QUALITY_EVENT|6112ba720c0009000000003e0000004a00000001
